country	gdp	year	xxx﻿
	Muslim countries average 	$113.83 billion 	2010	
59	Vietnam 	$106.43 billion 	2010	
	Potential Future EU Members average 	$103.55 billion 	2010	
60	Bangladesh 	$100.36 billion 	2010	
61	Puerto Rico 	$97.15 billion 	2010	
62	Morocco 	$90.77 billion 	2010	
63	Slovakia 	$87.22 billion 	2010	
64	Angola 	$82.47 billion 	2010	
65	Ecuador 	$67.51 billion 	2010	
66	Sudan 	$64.79 billion 	2010	
67	Syria 	$59.15 billion 	2010	
68	Croatia 	$58.87 billion 	2010	
69	Oman 	$58.81 billion 	2010	
70	Belarus 	$55.22 billion 	2010	
71	Azerbaijan 	$52.91 billion 	2010	
72	Luxembourg 	$52.51 billion 	2010	
73	Dominican Republic 	$51.65 billion 	2010	
	Landlocked countries average 	$50.51 billion 	2010	
74	Sri Lanka 	$49.57 billion 	2010	
	failed states average 	$48.96 billion 	2010	
75	Bulgaria 	$47.73 billion 	2010	
76	Slovenia 	$47.00 billion 	2010	
77	Tunisia 	$44.38 billion 	2010	
78	Guatemala 	$41.34 billion 	2010	
79	Uzbekistan 	$38.98 billion 	2010	
80	Uruguay 	$38.85 billion 	2010	
81	Lebanon 	$37.12 billion 	2010	
82	Serbia 	$36.99 billion 	2010	
83	Lithuania 	$36.64 billion 	2010	
84	Costa Rica 	$36.35 billion 	2010	
85	Kenya 	$32.23 billion 	2010	
86	Ghana 	$32.17 billion 	2010	
87	Yemen 	$31.88 billion 	2010	
88	Ethiopia 	$29.71 billion 	2010	
89	Macau 	$28.36 billion 	2010	
	Former French colonies average 	$27.21 billion 	2010	
90	Panama 	$26.59 billion 	2010	
91	Jordan 	$26.43 billion 	2010	
92	Bahrain 	$25.71 billion 	2010	
	Sub-Saharan Africa average 	$24.63 billion 	2010	
93	Latvia 	$24.05 billion 	2010	
94	Cyprus 	$23.13 billion 	2010	
95	Cote d'Ivoire 	$22.92 billion 	2010	
96	Tanzania 	$22.92 billion 	2010	
97	Turkmenistan 	$22.58 billion 	2010	
98	Cameroon 	$22.49 billion 	2010	
99	El Salvador 	$21.42 billion 	2010	
100	Trinidad and Tobago 	$20.68 billion 	2010	
101	Paraguay 	$20.03 billion 	2010	
102	Bolivia 	$19.65 billion 	2010	
103	Estonia 	$18.85 billion 	2010	
104	Uganda 	$17.20 billion 	2010	
105	Bosnia and Herzegovina 	$16.78 billion 	2010	
106	Zambia 	$16.19 billion 	2010	
107	Nepal 	$15.96 billion 	2010	
108	Afghanistan 	$15.94 billion 	2010	
109	Honduras 	$15.84 billion 	2010	
110	South Sudan 	$14.97 billion 	2010	
111	Gabon 	$14.54 billion 	2010	
112	Botswana 	$13.75 billion 	2010	
113	Jamaica 	$13.20 billion 	2010	
114	Democratic Republic of the Congo 	$13.11 billion 	2010	
115	Senegal 	$12.86 billion 	2010	
116	Iceland 	$12.56 billion 	2010	
117	Brunei 	$12.37 billion 	2010	
118	Equatorial Guinea 	$12.26 billion 	2010	
119	Republic of the Congo 	$12.01 billion 	2010	
120	Albania 	$11.86 billion 	2010	
121	Georgia 	$11.64 billion 	2010	
122	Cambodia 	$11.24 billion 	2010	
123	Namibia 	$11.07 billion 	2010	
124	Mauritius 	$9.72 billion 	2010	
125	Papua New Guinea 	$9.48 billion 	2010	
126	Mali 	$9.42 billion 	2010	
127	Republic of Macedonia 	$9.34 billion 	2010	
128	Mozambique 	$9.27 billion 	2010	
129	Armenia 	$9.26 billion 	2010	
130	Burkina Faso 	$9.21 billion 	2010	
131	Madagascar 	$8.84 billion 	2010	
132	Nicaragua 	$8.59 billion 	2010	
133	Chad 	$8.54 billion 	2010	
134	Malta 	$8.16 billion 	2010	
135	The Bahamas 	$7.89 billion 	2010	
136	Zimbabwe 	$7.43 billion 	2010	
137	Laos 	$7.18 billion 	2010	
138	Haiti 	$6.63 billion 	2010	
139	Benin 	$6.56 billion 	2010	
140	Mongolia 	$6.20 billion 	2010	
141	Moldova 	$5.81 billion 	2010	
142	Bermuda 	$5.76 billion 	2010	
143	Tajikistan 	$5.64 billion 	2010	
144	Rwanda 	$5.62 billion 	2010	
145	Kosovo 	$5.59 billion 	2010	
146	Niger 	$5.41 billion 	2010	
147	Malawi 	$5.40 billion 	2010	
148	Monaco 	$5.35 billion 	2010	
149	Kyrgyzstan 	$4.79 billion 	2010	
150	Guinea 	$4.74 billion 	2010	
151	Suriname 	$4.37 billion 	2010	
152	Montenegro 	$4.11 billion 	2010	
153	Barbados 	$4.11 billion 	2010	
154	Swaziland 	$3.69 billion 	2010	
155	Mauritania 	$3.67 billion 	2010	
156	Fiji 	$3.17 billion 	2010	
157	Togo 	$3.17 billion 	2010	
158	Sierra Leone 	$2.58 billion 	2010	
159	Aruba 	$2.47 billion 	2010	
160	Guyana 	$2.26 billion 	2010	
161	Lesotho 	$2.20 billion 	2010	
162	Maldives 	$2.13 billion 	2010	
163	Eritrea 	$2.12 billion 	2010	
164	Burundi 	$2.03 billion 	2010	
165	Central African Republic 	$1.98 billion 	2010	
166	Cape Verde 	$1.66 billion 	2010	
167	Bhutan 	$1.59 billion 	2010	
168	Belize 	$1.40 billion 	2010	
169	Liberia 	$1.29 billion 	2010	
170	Saint Lucia 	$1.20 billion 	2010	
171	Antigua and Barbuda 	$1.14 billion 	2010	
172	Seychelles 	$973.34 million 	2010	
173	The Gambia 	$951.81 million 	2010	
174	East Timor 	$875.10 million 	2010	
175	Guinea-Bissau 	$835.39 million 	2010	
176	Grenada 	$769.71 million 	2010	
177	Saint Kitts and Nevis 	$715.47 million 	2010	
178	Vanuatu 	$700.80 million 	2010	
179	Saint Vincent and the Grenadines 	$680.96 million 	2010	
180	Solomon Islands 	$678.63 million 	2010	
181	Samoa 	$572.16 million 	2010	
182	Comoros 	$543.38 million 	2010	
183	Dominica 	$474.89 million 	2010	
184	Tonga 	$368.78 million 	2010	
185	Federated States of Micronesia 	$294.12 million 	2010	
186	Sao Tome and Principe 	$201.04 million 	2010	
187	Palau 	$196.54 million 	2010	
188	Marshall Islands 	$162.94 million 	2010	
189	Kiribati 	$141.61 million 	2010	
190	Tuvalu 	$31.82 million 	2010	

